"int_n","int_des","total_cost","delta.deaths","delta.deaths.npv","che.10","che.25","int_eff_uncert","pop_burden_uncert"
2,"Skilled birth attendance",3503675.43296,139.144102501749,139.144102501749,0.000000835352050777788,0.000000835352050777788,"MEAN","MEAN"
3,"Basic emergency obstetric care",14845040.57088,322.09193831815,322.09193831815,0.00014189218313907,0.00014189218313907,"MEAN","MEAN"
4,"Comprehensive emergency obstetric care",2581746.18624,112.555590810311,112.555590810311,0.000900397102185722,0.000900397102185722,"MEAN","MEAN"
5,"Management of neonatal sepsis with antibiotics",1060.65696083157,348.790328768885,348.790328768885,0.0106678486020243,0.0106678486020243,"MEAN","MEAN"
6,"Full supportive care of preterm newborns (CPAP and surfactant)",75100.8796585184,241.814301695475,241.814301695475,0.0320874901704313,0.0320874901704313,"MEAN","MEAN"
9,"Oral rehydration solution",2907289.84074432,517.619559374916,517.619559374916,0.00000139508142757807,0.00000139508142757807,"MEAN","MEAN"
10,"Antibiotics for pneumonia",2424968.4528088,537.055700907195,537.055700907195,0.00000335093649315758,0.00000335093649315758,"MEAN","MEAN"
11,"Antibiotics for meningitis",160177.820393594,78.5880528341927,78.5880528341927,0.00597001223728252,0.00597001223728252,"MEAN","MEAN"
12,"TB diagnosis and treatment (sputum)",4340325.43869005,955.516905851296,955.516905851296,0.0000334542037452091,0.0000334542037452091,"MEAN","MEAN"
14,"ART",2965286.60661691,596.832988919181,444.099795264387,0.000072501625539235,0.000072501625539235,"MEAN","MEAN"
16,"Cervical cancer screening (DVI) and treatment",408858.99096,105.323088695869,105.323088695869,0.000709682193613488,0.000709682193613488,"MEAN","MEAN"
18,"Treatment of acute IHD event and secondary prevention",976984.959822644,371.311847521293,320.296861417781,0.00900676451925684,0.00900676451925684,"MEAN","MEAN"
19,"Screening for type 2 diabetes and glycemic control",520485.560178509,125.83629765465,93.6340233579579,0.000124230162655573,0.000124230162655573,"MEAN","MEAN"
20,"Basic package of quality surgical services",21454441.299619,356.498533831358,356.498533831358,0.00173648988008023,0.00173648988008023,"MEAN","MEAN"
